bank,addr,data
0,0,2845
1,0,795
2,0,482
3,0,868
0,1,1356
1,1,31
2,1,2149
3,1,1896
0,2,198
1,2,247
2,2,2825
3,2,850
0,3,449
1,3,1290
2,3,2642
3,3,1604
0,4,155
1,4,1442
2,4,664
3,4,3120
0,5,1712
1,5,2159
2,5,3100
3,5,1919
0,6,581
1,6,1378
2,6,111
3,6,1989
0,7,2835
1,7,1091
2,7,659
3,7,506
0,8,803
1,8,231
2,8,1806
3,8,2104
0,9,613
1,9,606
2,9,2453
3,9,2605
0,10,2880
1,10,614
2,10,1752
3,10,533
0,11,1974
1,11,2679
2,11,1858
3,11,1183
0,12,558
1,12,316
2,12,2089
3,12,2576
0,13,931
1,13,1999
2,13,1735
3,13,2034
0,14,2522
1,14,1990
2,14,70
3,14,3194
0,15,2637
1,15,818
2,15,987
3,15,3005
0,16,2197
1,16,2668
2,16,2306
3,16,883
0,17,517
1,17,2194
2,17,1313
3,17,2999
0,18,2220
1,18,1019
2,18,3280
3,18,905
0,19,2206
1,19,2233
2,19,1532
3,19,777
0,20,2634
1,20,2014
2,20,2147
3,20,1949
0,21,3200
1,21,1923
2,21,461
3,21,1270
0,22,2150
1,22,3192
2,22,2022
3,22,1591
0,23,3246
1,23,570
2,23,2330
3,23,2795
0,24,3143
1,24,2718
2,24,1467
3,24,1985
0,25,531
1,25,1586
2,25,658
3,25,655
0,26,2217
1,26,3234
2,26,1668
3,26,2946
0,27,36
1,27,2145
2,27,1048
3,27,2825
0,28,1094
1,28,2159
2,28,524
3,28,901
0,29,1973
1,29,2158
2,29,1419
3,29,2334
0,30,1075
1,30,742
2,30,149
3,30,3105
0,31,630
1,31,2776
2,31,2134
3,31,2303
0,32,3261
1,32,1165
2,32,1687
3,32,2857
0,33,847
1,33,2767
2,33,2349
3,33,726
0,34,1352
1,34,837
2,34,3306
3,34,1066
0,35,2745
1,35,1423
2,35,2761
3,35,2536
0,36,765
1,36,2580
2,36,827
3,36,1662
0,37,805
1,37,2149
2,37,2765
3,37,2564
0,38,943
1,38,3085
2,38,2674
3,38,2615
0,39,3278
1,39,497
2,39,2652
3,39,1000
0,40,2964
1,40,2869
2,40,186
3,40,1378
0,41,2236
1,41,137
2,41,3135
3,41,1511
0,42,1055
1,42,1893
2,42,3262
3,42,2343
0,43,1988
1,43,2424
2,43,2710
3,43,30
0,44,2842
1,44,3280
2,44,1083
3,44,772
0,45,1345
1,45,2266
2,45,1842
3,45,873
0,46,1476
1,46,3142
2,46,2695
3,46,2057
0,47,1819
1,47,1510
2,47,1046
3,47,3293
0,48,1911
1,48,2611
2,48,1616
3,48,1703
0,49,1656
1,49,2900
2,49,163
3,49,718
0,50,54
1,50,914
2,50,3015
3,50,493
0,51,683
1,51,3241
2,51,1899
3,51,1824
0,52,460
1,52,1164
2,52,2404
3,52,1937
0,53,1392
1,53,415
2,53,2513
3,53,3097
0,54,3246
1,54,2512
2,54,2493
3,54,3299
0,55,645
1,55,2192
2,55,3023
3,55,636
0,56,2651
1,56,727
2,56,2063
3,56,1544
0,57,3236
1,57,2354
2,57,2282
3,57,295
0,58,1574
1,58,242
2,58,1680
3,58,526
0,59,1496
1,59,1984
2,59,3241
3,59,2217
0,60,164
1,60,2042
2,60,393
3,60,1936
0,61,1759
1,61,1679
2,61,831
3,61,1182
0,62,2247
1,62,544
2,62,744
3,62,287
0,63,1972
1,63,1573
2,63,1766
3,63,1889
